epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.661788,1.78048,3.58746,1.49903,0.00111,0.01316,0.00058,6e-05,1.41044,3.6304,1.34525,0,0,0
2,1.01574,2.23274,3.82112,1.84924,0,0,0,0,1.41721,3.63007,1.34445,1.9802e-05,1.9802e-05,1.9802e-05
3,1.35276,2.03503,3.59896,1.84905,0,0,0,0,1.42419,3.62854,1.34651,3.9208e-05,3.9208e-05,3.9208e-05
4,1.68284,1.98241,3.62555,1.82019,0,0,0,0,1.37262,3.62358,1.30923,5.8218e-05,5.8218e-05,5.8218e-05
5,2.07953,1.76879,3.52537,1.47412,0.00222,0.02632,0.00121,0.00012,1.33858,3.6059,1.25744,7.6832e-05,7.6832e-05,7.6832e-05
6,2.49294,1.81932,3.50418,1.50739,0.00556,0.06579,0.00299,0.00076,1.33219,3.59097,1.22235,9.505e-05,9.505e-05,9.505e-05
7,2.88996,1.47523,3.32778,1.24861,0.01333,0.15789,0.0084,0.00472,1.3026,3.57277,1.18344,0.000112872,0.000112872,0.000112872
8,3.28637,1.48465,3.1182,1.23425,0.02556,0.30263,0.02162,0.01282,1.30032,3.52236,1.15281,0.000130298,0.000130298,0.000130298
9,3.6978,1.40178,2.90645,1.28238,0.03667,0.43421,0.04107,0.02447,1.32545,3.44274,1.1239,0.000147328,0.000147328,0.000147328
10,4.13885,1.62722,2.99639,1.15509,0.04444,0.52632,0.05923,0.03826,1.33301,3.36888,1.09264,0.000163962,0.000163962,0.000163962
11,4.57548,1.32102,2.62987,1.16172,0.04444,0.52632,0.06633,0.04456,1.33827,3.31211,1.0729,0.0001802,0.0001802,0.0001802
12,5.01795,1.37579,2.15789,1.18661,0.04444,0.52632,0.0674,0.04502,1.33494,3.30239,1.06816,0.000196042,0.000196042,0.000196042
13,5.39946,1.48326,2.35059,1.23661,0.05,0.59211,0.07807,0.04858,1.33899,3.24381,1.0492,0.000211488,0.000211488,0.000211488
14,5.87465,1.42311,1.83334,1.0839,0.06889,0.81579,0.13291,0.074,1.30613,3.1572,1.01053,0.000226538,0.000226538,0.000226538
15,6.25993,1.32002,1.59185,0.99563,0.07,0.82895,0.13222,0.0726,1.26938,3.06502,0.99508,0.000241192,0.000241192,0.000241192
16,6.68545,1.22101,1.25297,1.00494,0.07,0.82895,0.13074,0.07573,1.2383,2.97998,0.98961,0.00025545,0.00025545,0.00025545
17,7.09356,1.24957,1.16058,1.05189,0.07,0.82895,0.20687,0.13021,1.29212,2.88925,1.00845,0.000269312,0.000269312,0.000269312
18,7.50881,1.21881,1.34356,1.05758,0.07,0.82895,0.20687,0.13021,1.29212,2.88925,1.00845,0.000282778,0.000282778,0.000282778
19,7.9274,1.34874,1.1631,1.07704,0.06889,0.81579,0.49229,0.3007,1.35381,2.80903,1.03186,0.000295848,0.000295848,0.000295848
20,8.31616,1.01973,0.96758,1.02731,0.06889,0.81579,0.49229,0.3007,1.35381,2.80903,1.03186,0.000308522,0.000308522,0.000308522
21,8.72358,1.0624,0.82302,0.93482,0.07,0.82895,0.59722,0.34163,1.38994,2.76469,1.05439,0.0003208,0.0003208,0.0003208
22,9.09343,1.17434,0.8952,0.97559,0.07,0.82895,0.59722,0.34163,1.38994,2.76469,1.05439,0.000332682,0.000332682,0.000332682
23,9.53017,1.1786,0.99474,1.06641,0.07,0.82895,0.60032,0.37879,1.31685,2.7142,1.01217,0.000344168,0.000344168,0.000344168
24,9.96321,1.09746,0.95141,1.06042,0.07,0.82895,0.60032,0.37879,1.31685,2.7142,1.01217,0.000355258,0.000355258,0.000355258
25,10.3961,1.1982,0.96118,1.01275,0.07,0.82895,0.57757,0.37458,1.29545,2.70247,0.99607,0.000365952,0.000365952,0.000365952
26,10.7977,1.40973,1.40216,1.29439,0.07,0.82895,0.57757,0.37458,1.29545,2.70247,0.99607,0.00037625,0.00037625,0.00037625
27,11.2152,1.20407,1.14711,1.1555,0.07,0.82895,0.59098,0.38535,1.27678,2.68692,0.99058,0.000386152,0.000386152,0.000386152
28,11.7347,1.09083,0.8825,0.99284,0.07,0.82895,0.59098,0.38535,1.27678,2.68692,0.99058,0.000395658,0.000395658,0.000395658
29,12.1836,1.12083,0.99787,1.01938,0.07,0.82895,0.58318,0.37723,1.29584,2.69215,1.00181,0.000404768,0.000404768,0.000404768
30,12.5804,0.99067,0.78578,0.96854,0.07,0.82895,0.58318,0.37723,1.29584,2.69215,1.00181,0.000413482,0.000413482,0.000413482
31,13.0062,1.16446,0.98816,1.09572,0.06889,0.81579,0.59843,0.38488,1.35659,2.67578,1.02617,0.0004218,0.0004218,0.0004218
32,13.4067,1.0303,0.87917,1.06857,0.06889,0.81579,0.59843,0.38488,1.35659,2.67578,1.02617,0.000429722,0.000429722,0.000429722
33,13.8386,1.19832,0.8283,1.01842,0.06889,0.81579,0.60235,0.37818,1.38742,2.67244,1.03299,0.000437248,0.000437248,0.000437248
34,14.2529,1.295,1.13912,0.95584,0.06889,0.81579,0.60235,0.37818,1.38742,2.67244,1.03299,0.000444378,0.000444378,0.000444378
35,14.6896,1.10162,0.81577,0.98253,0.07,0.82895,0.61409,0.39062,1.2877,2.66724,0.99855,0.000451112,0.000451112,0.000451112
36,15.0869,1.0661,1.02659,1.0643,0.07,0.82895,0.61409,0.39062,1.2877,2.66724,0.99855,0.00045745,0.00045745,0.00045745
